"ISO3","Area","UN Region","EBRD Region","cpc_name1","Element","Unit","Year","value","Item","grouped"
NA,"World",NA,NA,"Vegetables","Gross Production Value (constant 2014-2016 thousand US$)","1000 USD",2013,12163180,"Cauliflowers and broccoli","no"
NA,"World",NA,NA,"Vegetables","Gross Production Value (constant 2014-2016 thousand US$)","1000 USD",2014,12611873,"Cauliflowers and broccoli","no"
NA,"World",NA,NA,"Vegetables","Gross Production Value (constant 2014-2016 thousand US$)","1000 USD",2015,12569673,"Cauliflowers and broccoli","no"
NA,"World",NA,NA,"Vegetables","Gross Production Value (constant 2014-2016 thousand US$)","1000 USD",2016,12645038,"Cauliflowers and broccoli","no"
NA,"World",NA,NA,"Vegetables","Gross Production Value (constant 2014-2016 thousand US$)","1000 USD",2017,13068198,"Cauliflowers and broccoli","no"
NA,"World",NA,NA,"Vegetables","Gross Production Value (constant 2014-2016 thousand US$)","1000 USD",2018,13086648,"Cauliflowers and broccoli","no"
NA,"World",NA,NA,"Vegetables","Gross Production Value (constant 2014-2016 thousand US$)","1000 USD",2019,13341366,"Cauliflowers and broccoli","no"
NA,"World",NA,NA,"Vegetables","Gross Production Value (constant 2014-2016 thousand US$)","1000 USD",2020,13194172,"Cauliflowers and broccoli","no"
NA,"World",NA,NA,"Vegetables","Gross Production Value (constant 2014-2016 thousand US$)","1000 USD",2021,13333402,"Cauliflowers and broccoli","no"
NA,"World",NA,NA,"Vegetables","Gross Production Value (constant 2014-2016 thousand US$)","1000 USD",2022,13547110,"Cauliflowers and broccoli","no"
NA,"World",NA,NA,"Vegetables","Gross Production Value (constant 2014-2016 thousand US$)","1000 USD",2023,13398911,"Cauliflowers and broccoli","no"
NA,"World",NA,NA,"Cereals","Gross Production Value (constant 2014-2016 thousand I$)","1000 Int$",1992,438435,"Cereals n.e.c.","no"
NA,"World",NA,NA,"Cereals","Gross Production Value (constant 2014-2016 thousand I$)","1000 Int$",1993,475161,"Cereals n.e.c.","no"
NA,"World",NA,NA,"Cereals","Gross Production Value (constant 2014-2016 thousand I$)","1000 Int$",1994,485300,"Cereals n.e.c.","no"
NA,"World",NA,NA,"Cereals","Gross Production Value (constant 2014-2016 thousand I$)","1000 Int$",1995,496105,"Cereals n.e.c.","no"
NA,"World",NA,NA,"Cereals","Gross Production Value (constant 2014-2016 thousand I$)","1000 Int$",1996,626679,"Cereals n.e.c.","no"
NA,"World",NA,NA,"Cereals","Gross Production Value (constant 2014-2016 thousand I$)","1000 Int$",1997,708617,"Cereals n.e.c.","no"
NA,"World",NA,NA,"Cereals","Gross Production Value (constant 2014-2016 thousand I$)","1000 Int$",1998,516265,"Cereals n.e.c.","no"
NA,"World",NA,NA,"Cereals","Gross Production Value (constant 2014-2016 thousand I$)","1000 Int$",1999,678858,"Cereals n.e.c.","no"
NA,"World",NA,NA,"Cereals","Gross Production Value (constant 2014-2016 thousand I$)","1000 Int$",2000,670350,"Cereals n.e.c.","no"
NA,"World",NA,NA,"Cereals","Gross Production Value (constant 2014-2016 thousand I$)","1000 Int$",2001,725512,"Cereals n.e.c.","no"
