"ISO3","Area","Country Group","UN Region","EBRD Region","type","Item","unit","year","value","cpc_group","isscaap","grouped"
"AUS","Australia","Australia and New Zealand","Australia and New Zealand",NA,"CAPTURE","Aquatic plants","Q_tlw",2010,1923,NA,NA,"yes"
"AUS","Australia","Australia and New Zealand","Australia and New Zealand",NA,"CAPTURE","Aquatic plants","Q_tlw",2011,1923,NA,NA,"yes"
"AUS","Australia","Australia and New Zealand","Australia and New Zealand",NA,"CAPTURE","Aquatic plants","Q_tlw",2012,1923,NA,NA,"yes"
"AUS","Australia","Australia and New Zealand","Australia and New Zealand",NA,"CAPTURE","Aquatic plants","Q_tlw",2013,1923,NA,NA,"yes"
"AUS","Australia","Australia and New Zealand","Australia and New Zealand",NA,"CAPTURE","Aquatic plants","Q_tlw",2014,1923,NA,NA,"yes"
"AUS","Australia","Australia and New Zealand","Australia and New Zealand",NA,"CAPTURE","Aquatic plants","Q_tlw",2015,1923,NA,NA,"yes"
"AUS","Australia","Australia and New Zealand","Australia and New Zealand",NA,"CAPTURE","Aquatic plants","Q_tlw",2016,1923,NA,NA,"yes"
"AUS","Australia","Australia and New Zealand","Australia and New Zealand",NA,"CAPTURE","Aquatic plants","Q_tlw",2017,1923,NA,NA,"yes"
"AUS","Australia","Australia and New Zealand","Australia and New Zealand",NA,"CAPTURE","Aquatic plants","Q_tlw",2018,1923,NA,NA,"yes"
"AUS","Australia","Australia and New Zealand","Australia and New Zealand",NA,"CAPTURE","Aquatic plants","Q_tlw",2019,1923,NA,NA,"yes"
"AUS","Australia","Australia and New Zealand","Australia and New Zealand",NA,"CAPTURE","Aquatic plants","Q_tlw",2020,1923,NA,NA,"yes"
"AUS","Australia","Australia and New Zealand","Australia and New Zealand",NA,"CAPTURE","Aquatic plants","Q_tlw",2021,1923,NA,NA,"yes"
"AUS","Australia","Australia and New Zealand","Australia and New Zealand",NA,"CAPTURE","Aquatic plants","Q_tlw",2022,1923,NA,NA,"yes"
"AUS","Australia","Australia and New Zealand","Australia and New Zealand",NA,"CAPTURE","Crustaceans","Q_tlw",1992,45627,NA,NA,"yes"
"AUS","Australia","Australia and New Zealand","Australia and New Zealand",NA,"CAPTURE","Crustaceans","Q_tlw",1993,46240,NA,NA,"yes"
"AUS","Australia","Australia and New Zealand","Australia and New Zealand",NA,"CAPTURE","Crustaceans","Q_tlw",1994,45101,NA,NA,"yes"
"AUS","Australia","Australia and New Zealand","Australia and New Zealand",NA,"CAPTURE","Crustaceans","Q_tlw",1995,49868,NA,NA,"yes"
"AUS","Australia","Australia and New Zealand","Australia and New Zealand",NA,"CAPTURE","Crustaceans","Q_tlw",1996,50645,NA,NA,"yes"
"AUS","Australia","Australia and New Zealand","Australia and New Zealand",NA,"CAPTURE","Crustaceans","Q_tlw",1997,53540,NA,NA,"yes"
"AUS","Australia","Australia and New Zealand","Australia and New Zealand",NA,"CAPTURE","Crustaceans","Q_tlw",1998,55209,NA,NA,"yes"
"AUS","Australia","Australia and New Zealand","Australia and New Zealand",NA,"CAPTURE","Crustaceans","Q_tlw",1999,51098,NA,NA,"yes"
"AUS","Australia","Australia and New Zealand","Australia and New Zealand",NA,"CAPTURE","Crustaceans","Q_tlw",2000,51718,NA,NA,"yes"
"AUS","Australia","Australia and New Zealand","Australia and New Zealand",NA,"CAPTURE","Crustaceans","Q_tlw",2001,52642,NA,NA,"yes"
"AUS","Australia","Australia and New Zealand","Australia and New Zealand",NA,"CAPTURE","Crustaceans","Q_tlw",2002,47827,NA,NA,"yes"
"AUS","Australia","Australia and New Zealand","Australia and New Zealand",NA,"CAPTURE","Crustaceans","Q_tlw",2003,47669,NA,NA,"yes"
"AUS","Australia","Australia and New Zealand","Australia and New Zealand",NA,"CAPTURE","Crustaceans","Q_tlw",2004,51440,NA,NA,"yes"
"AUS","Australia","Australia and New Zealand","Australia and New Zealand",NA,"CAPTURE","Crustaceans","Q_tlw",2005,45519,NA,NA,"yes"
"AUS","Australia","Australia and New Zealand","Australia and New Zealand",NA,"CAPTURE","Crustaceans","Q_tlw",2006,42727,NA,NA,"yes"
"AUS","Australia","Australia and New Zealand","Australia and New Zealand",NA,"CAPTURE","Crustaceans","Q_tlw",2007,37986,NA,NA,"yes"
"AUS","Australia","Australia and New Zealand","Australia and New Zealand",NA,"CAPTURE","Crustaceans","Q_tlw",2008,40220,NA,NA,"yes"
"AUS","Australia","Australia and New Zealand","Australia and New Zealand",NA,"CAPTURE","Crustaceans","Q_tlw",2009,42061,NA,NA,"yes"
"AUS","Australia","Australia and New Zealand","Australia and New Zealand",NA,"CAPTURE","Crustaceans","Q_tlw",2010,38538,NA,NA,"yes"
"AUS","Australia","Australia and New Zealand","Australia and New Zealand",NA,"CAPTURE","Crustaceans","Q_tlw",2011,40638,NA,NA,"yes"
