"ISO3","Area","Country Group","UN Region","EBRD Region","type","Item","unit","year","value","cpc_group","isscaap","grouped"
NA,"World",NA,NA,NA,"BRACKISHWATER","Crustaceans","Q_tlw",2004,1998502,"Crustaceans","Shrimps, prawns","no"
NA,"World",NA,NA,NA,"BRACKISHWATER","Crustaceans","Q_tlw",2005,2304659,"Crustaceans","Shrimps, prawns","no"
NA,"World",NA,NA,NA,"BRACKISHWATER","Crustaceans","Q_tlw",2006,2645887,"Crustaceans","Shrimps, prawns","no"
NA,"World",NA,NA,NA,"BRACKISHWATER","Crustaceans","Q_tlw",2007,2726876.3,"Crustaceans","Shrimps, prawns","no"
NA,"World",NA,NA,NA,"BRACKISHWATER","Crustaceans","Q_tlw",2008,2847093.02,"Crustaceans","Shrimps, prawns","no"
NA,"World",NA,NA,NA,"BRACKISHWATER","Crustaceans","Q_tlw",2009,2975087.11,"Crustaceans","Shrimps, prawns","no"
NA,"World",NA,NA,NA,"BRACKISHWATER","Crustaceans","Q_tlw",2010,2985735.47,"Crustaceans","Shrimps, prawns","no"
NA,"World",NA,NA,NA,"BRACKISHWATER","Crustaceans","Q_tlw",2011,3334067.428,"Crustaceans","Shrimps, prawns","no"
NA,"World",NA,NA,NA,"BRACKISHWATER","Crustaceans","Q_tlw",2012,3424872.4899999998,"Crustaceans","Shrimps, prawns","no"
NA,"World",NA,NA,NA,"BRACKISHWATER","Crustaceans","Q_tlw",2013,3572748.903,"Crustaceans","Shrimps, prawns","no"
NA,"World",NA,NA,NA,"BRACKISHWATER","Crustaceans","Q_tlw",2014,3909796.942,"Crustaceans","Shrimps, prawns","no"
NA,"World",NA,NA,NA,"BRACKISHWATER","Crustaceans","Q_tlw",2015,4149495.416,"Crustaceans","Shrimps, prawns","no"
NA,"World",NA,NA,NA,"BRACKISHWATER","Crustaceans","Q_tlw",2016,4412275.034,"Crustaceans","Shrimps, prawns","no"
NA,"World",NA,NA,NA,"BRACKISHWATER","Crustaceans","Q_tlw",2017,5097014.574,"Crustaceans","Shrimps, prawns","no"
NA,"World",NA,NA,NA,"BRACKISHWATER","Crustaceans","Q_tlw",2018,5384864.81,"Crustaceans","Shrimps, prawns","no"
NA,"World",NA,NA,NA,"BRACKISHWATER","Crustaceans","Q_tlw",2019,5815524.066,"Crustaceans","Shrimps, prawns","no"
NA,"World",NA,NA,NA,"BRACKISHWATER","Crustaceans","Q_tlw",2020,6212281.743,"Crustaceans","Shrimps, prawns","no"
NA,"World",NA,NA,NA,"BRACKISHWATER","Crustaceans","Q_tlw",2021,6695843.684,"Crustaceans","Shrimps, prawns","no"
NA,"World",NA,NA,NA,"BRACKISHWATER","Crustaceans","Q_tlw",2022,7156646.642,"Crustaceans","Shrimps, prawns","no"
NA,"World",NA,NA,NA,"BRACKISHWATER","Fish","Q_tlw",1992,7353,"Fish","Carps, barbels and other cyprinids","no"
NA,"World",NA,NA,NA,"BRACKISHWATER","Fish","Q_tlw",1993,2948,"Fish","Carps, barbels and other cyprinids","no"
NA,"World",NA,NA,NA,"BRACKISHWATER","Fish","Q_tlw",1994,2500,"Fish","Carps, barbels and other cyprinids","no"
NA,"World",NA,NA,NA,"BRACKISHWATER","Fish","Q_tlw",1995,11670,"Fish","Carps, barbels and other cyprinids","no"
NA,"World",NA,NA,NA,"BRACKISHWATER","Fish","Q_tlw",1996,17477,"Fish","Carps, barbels and other cyprinids","no"
